targetFromSourceId	datasourceIds	evidenceCount	unnamed
ENSG00000232462	[expression_atlas]	1	
ENSG00000232461	[expression_atlas]	1	
C1orf143	[sysbio]	1	
ENSG00000263995	[expression_atlas]	1	
ENSG00000274245	[expression_atlas]	1	
ENSG00000275966	[expression_atlas]	1	
ENSG00000251085	[expression_atlas]	1	
ENSG00000274464	[expression_atlas]	1	
ENSG00000208035	[expression_atlas]	1	
ENSG00000236198	[expression_atlas]	1	
ENSG00000275757	[expression_atlas]	1	
ENSG00000270097	[expression_atlas]	1	
ENSG00000225261	[expression_atlas]	1	
ENSG00000248632	[expression_atlas]	1	
ENSG00000265780	[expression_atlas]	1	
ENSG00000267667	[expression_atlas]	1	
ENSG00000258946	[expression_atlas]	1	
ENSG00000270160	[expression_atlas]	1	
ENSG00000225554	[expression_atlas]	1	
ENSG00000280550	[expression_atlas]	1	
ENSG00000234536	[expression_atlas]	1	
ENSG00000273774	[expression_atlas]	1	
ENSG00000247844	[expression_atlas]	1	
ENSG00000279816	[expression_atlas]	1	
ENSG00000280074	[expression_atlas]	1	
ENSG00000228569	[expression_atlas]	1	
ENSG00000221310	[expression_atlas]	1	
ENSG00000260837	[expression_atlas]	1	
ENSG00000272746	[expression_atlas]	1	
ENSG00000233438	[expression_atlas]	1	
ENSG00000259747	[expression_atlas]	1	
ENSG00000259264	[expression_atlas]	1	
ENSG00000267459	[expression_atlas]	1	
ENSG00000258268	[expression_atlas]	1	
ENSG00000221172	[expression_atlas]	1	
ENSG00000230812	[expression_atlas]	1	
ENSG00000252120	[expression_atlas]	1	
ENSG00000265186	[expression_atlas]	1	
ENSG00000264608	[expression_atlas]	1	
ENSG00000281325	[expression_atlas]	1	
ENSG00000257156	[expression_atlas]	1	
ENSG00000284737	[expression_atlas]	1	
ENSG00000280911	[expression_atlas]	1	
ENSG00000276301	[expression_atlas]	1	
ENSG00000259641	[expression_atlas]	1	
ENSG00000263692	[expression_atlas]	1	
ENSG00000266330	[expression_atlas]	1	
ENSG00000248294	[expression_atlas]	1	
ENSG00000261176	[expression_atlas]	1	
ENSG00000261672	[expression_atlas]	1	
ENSG00000226598	[expression_atlas]	1	
ENSG00000207770	[expression_atlas]	1	
ENSG00000275104	[expression_atlas]	1	
ENSG00000254714	[expression_atlas]	1	
ENSG00000255465	[expression_atlas]	1	
ENSG00000271815	[expression_atlas]	1	
ENSG00000221870	[expression_atlas]	1	
ENSG00000188206	[expression_atlas]	1	
ENSG00000270093	[expression_atlas]	1	
ENSG00000281105	[expression_atlas]	1	
ENSG00000186354	[expression_atlas]	1	
ENSG00000229245	[expression_atlas]	1	
ENSG00000203886	[expression_atlas]	1	
ENSG00000256927	[expression_atlas]	1	
ENSG00000253379	[expression_atlas]	1	
ENSG00000267776	[expression_atlas]	1	
ENSG00000221746	[expression_atlas]	1	
ENSG00000286261	[ot_genetics_portal]	1	
ENSG00000238448	[expression_atlas]	1	
ENSG00000263812	[expression_atlas]	1	
ENSG00000279745	[expression_atlas]	1	
ENSG00000280527	[expression_atlas]	1	
ENSG00000279866	[expression_atlas]	1	
ENSG00000280756	[expression_atlas]	1	
ENSG00000275039	[expression_atlas]	1	
AK025613	[sysbio]	1	
ENSG00000254173	[expression_atlas]	1	
ENSG00000279582	[expression_atlas]	1	
ENSG00000277726	[ot_genetics_portal]	1	
ENSG00000263337	[expression_atlas]	1	
ENSG00000271757	[expression_atlas]	1	
ENSG00000271970	[expression_atlas]	1	
ENSG00000268225	[expression_atlas]	1	
ENSG00000254869	[expression_atlas]	1	
ENSG00000203386	[expression_atlas]	1	
ENSG00000277121	[expression_atlas]	1	
ENSG00000223700	[expression_atlas]	1	
ENSG00000229702	[expression_atlas]	1	
MLL3S	[sysbio]	1	
ENSG00000281523	[expression_atlas]	1	
ENSG00000260636	[expression_atlas]	1	
ENSG00000278093	[expression_atlas]	1	
ENSG00000255863	[ot_genetics_portal]	1	
ENSG00000228106	[expression_atlas]	1	
ENSG00000273588	[expression_atlas]	1	
ENSG00000276112	[expression_atlas]	1	
ENSG00000263931	[expression_atlas]	1	
ENSG00000280483	[expression_atlas]	1	
ENSG00000240292	[expression_atlas]	1	
ENSG00000233903	[expression_atlas]	1	
ENSG00000253701	[expression_atlas]	1	
ENSG00000221961	[expression_atlas]	1	
ENSG00000276989	[expression_atlas]	1	
ENSG00000261428	[expression_atlas]	1	
ENSG00000267702	[expression_atlas]	1	
ENSG00000204365	[expression_atlas]	1	
ENSG00000258247	[expression_atlas]	1	
ENSG00000259957	[expression_atlas]	1	
ENSG00000232324	[expression_atlas]	1	
ENSG00000275405	[expression_atlas]	1	
ENSG00000236392	[expression_atlas]	1	
ENSG00000261171	[expression_atlas]	1	
ENSG00000280724	[expression_atlas]	1	
ENSG00000274815	[expression_atlas]	1	
ENSG00000254281	[expression_atlas]	1	
ENSG00000279937	[expression_atlas]	1	
ENSG00000248173	[expression_atlas]	1	
ENSG00000273237	[expression_atlas]	1	
ENSG00000228962	[expression_atlas]	1	
ENSG00000279877	[expression_atlas]	1	
ENSG00000259348	[expression_atlas]	1	
ENSG00000281271	[expression_atlas]	1	
ENSG00000280887	[expression_atlas]	1	
ENSG00000281353	[expression_atlas]	1	
ENSG00000281285	[expression_atlas]	1	
ENSG00000277992	[expression_atlas]	1	
ENSG00000278080	[expression_atlas]	1	
ENSG00000266176	[expression_atlas]	1	
ENSG00000272524	[expression_atlas]	1	
ENSG00000221198	[expression_atlas]	1	
ENSG00000261013	[expression_atlas]	1	
ENSG00000243300	[expression_atlas]	1	
ENSG00000275611	[expression_atlas]	1	
ENSG00000154537	[expression_atlas]	1	
ENSG00000239429	[expression_atlas]	1	
ENSG00000267528	[expression_atlas]	1	
ENSG00000187695	[expression_atlas]	1	
ENSG00000273019	[expression_atlas]	1	
ENSG00000236030	[expression_atlas]	1	
ENSG00000284828	[expression_atlas]	1	
ENSG00000281209	[expression_atlas]	1	
ENSG00000227136	[expression_atlas]	1	
Q156A1	[uniprot_literature]	1	
